Voxel_No,model,probability_of_model
0,k4 non-zero,0.5363869863013699
1,k4 non-zero,0.5372431506849316
2,k4 non-zero,0.5372431506849316
3,k4 non-zero,0.5376712328767124
4,k4 non-zero,0.5376712328767124
5,k4 non-zero,0.5368150684931507
6,k4 non-zero,0.5346746575342466
7,k4 non-zero,0.5351027397260274
8,k4 non-zero,0.5363869863013699
9,k4 non-zero,0.5351027397260274
